31.02.001;TCC00168;3;68;0;GMA00108;1
31.02.001;TCC00168;3;68;0;TCC00173;1
31.02.001;TCC00167;4;68;0;TCC00171;3
31.02.001;TCC00164;4;68;0;TET00185;3
31.02.001;TCC00166;4;68;0;TCC00171;3
31.02.001;TCC00215;4;68;0;TCC00171;3
31.02.001;GET00122;4;68;0;GMA00108;1
31.02.001;TCC00172;4;68;0;GMA00109;2
31.02.001;TCC00172;4;68;0;GMA00121;2
31.02.001;TCC00172;4;68;0;TCC00168;3
31.02.001;TCC00175;4;68;0;TCC00171;3
31.02.001;TCC00176;5;68;0;TCC00167;4
31.02.001;TCC00180;5;68;0;TCC00171;3
31.02.001;TCC00178;5;68;0;GAN00166;2
31.02.001;TCC00177;5;48;20;TCC00166;4
31.02.001;TCC00185;5;68;0;GFI00159;3
31.02.001;TCC00185;5;68;0;TCC00164;4
31.02.001;TCC00188;5;68;0;TCC00164;4
31.02.001;TCC00183;6;68;0;TCC00170;3
31.02.001;TCC00183;6;68;0;TCC00178;5
31.02.001;TCC00179;6;68;0;GAN00140;2
31.02.001;TCC00179;6;68;0;TCC00171;3
31.02.001;TCC00181;6;68;0;TCC00180;5
31.02.001;TCC00182;6;68;0;GAN00166;2
31.02.001;TCC00182;6;68;0;TCC00171;3
31.02.001;TCC00186;6;68;0;TCC00185;5
31.02.001;TCC00187;6;68;0;TCC00188;5
31.02.001;TCC00184;7;68;0;TCC00171;3
31.02.001;TCC00191;7;68;0;GAN00140;2
31.02.001;TCC00191;7;68;0;GAN00166;2
31.02.001;TCC00191;7;68;0;GAN00167;1
31.02.001;TCC00191;7;68;0;GET00122;4
31.02.001;TCC00191;7;68;0;GFI00136;2
31.02.001;TCC00191;7;68;0;GFI00138;3
31.02.001;TCC00191;7;68;0;GFI00158;2
31.02.001;TCC00191;7;68;0;GFI00159;3
31.02.001;TCC00191;7;68;0;GGM00127;1
31.02.001;TCC00191;7;68;0;GMA00108;1
31.02.001;TCC00191;7;68;0;GMA00109;2
